,start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
0,0.0,0.16249,0.0,-60.0,0.13351,-56.285,0.0,"[1.0, 0.931, 0.832, 0.833, 0.666, 0.676, 0.373, 0.357, 0.07, 0.076, 0.099, 0.152]","[1.007, 152.67, -2.817, -53.792, 45.448, -53.424, 25.489, -17.25, -27.785, 4.986, -6.757, -4.634]"
1,0.16249,0.16807,1.0,-55.363,0.04748,-19.234,0.0,"[0.023, 0.01, 0.012, 0.029, 1.0, 0.014, 0.006, 0.005, 0.006, 0.007, 0.01, 0.009]","[36.756, -104.578, 148.242, 83.448, 142.386, 10.844, -19.767, -5.143, 12.803, 33.969, -13.18, -27.17]"
2,0.33057,0.16218,0.517,-31.313,0.028,-23.081,0.0,"[0.045, 0.018, 0.016, 0.021, 0.043, 1.0, 0.033, 0.018, 0.013, 0.014, 0.019, 0.013]","[32.988, -110.196, 150.71, 99.228, 123.638, -33.312, 2.644, 5.705, 19.069, 14.47, -19.18, -36.398]"
3,0.49274,0.18041,0.78,-34.489,0.04184,-24.053,0.0,"[0.141, 0.055, 0.042, 0.058, 0.036, 0.12, 1.0, 0.065, 0.037, 0.046, 0.05, 0.024]","[31.846, -75.717, 138.503, 118.506, 89.776, -40.865, 17.598, 15.553, 16.447, 3.542, -36.479, -37.058]"
4,0.67315,0.16889,1.0,-37.982,0.02366,-20.128,0.0,"[0.122, 0.095, 0.309, 0.068, 0.049, 0.462, 0.179, 1.0, 0.051, 0.188, 0.112, 0.023]","[35.016, -100.815, 106.499, 108.304, 73.901, -23.332, 20.867, 0.156, 4.312, -5.618, -23.948, -18.732]"
5,0.84204,0.34136,0.213,-33.915,0.03648,-30.425,0.0,"[0.237, 0.144, 1.0, 0.12, 0.094, 0.834, 0.098, 0.068, 0.062, 0.349, 0.18, 0.095]","[25.194, -168.991, 53.201, 77.039, 116.87, -36.699, -2.158, 41.686, -0.332, -2.49, -22.301, -19.736]"
6,1.1834,0.14667,0.225,-43.024,0.03024,-40.303,0.0,"[0.38, 0.333, 0.723, 0.16, 0.084, 0.212, 0.072, 0.067, 0.074, 0.414, 1.0, 0.108]","[18.771, -143.402, -1.172, -28.116, 112.789, -58.93, -0.863, 17.739, -25.718, -5.621, 3.94, -9.972]"
7,1.33007,0.16884,0.896,-42.792,0.04462,-32.344,0.0,"[0.144, 0.078, 0.179, 0.024, 0.026, 0.044, 0.09, 1.0, 0.083, 0.081, 0.095, 0.034]","[24.766, -128.232, 34.253, 47.789, 61.096, -13.897, -28.285, 0.528, -33.95, -7.05, -22.191, -0.712]"
8,1.49891,0.17796,1.0,-41.463,0.02096,-25.458,0.0,"[0.082, 0.041, 0.095, 0.025, 0.093, 1.0, 0.058, 0.051, 0.014, 0.033, 0.042, 0.014]","[30.911, -119.614, 38.226, 45.156, 34.377, -17.115, -44.21, 20.662, -15.179, 5.734, -6.325, -8.172]"
9,1.67687,0.17941,0.662,-36.845,0.06647,-29.337,0.0,"[0.101, 0.061, 0.141, 0.036, 0.033, 0.131, 0.089, 1.0, 0.079, 0.061, 0.077, 0.022]","[28.195, -119.526, 60.334, 44.871, 49.004, -11.265, -30.244, -5.128, -32.695, -7.637, -27.161, 2.834]"
10,1.85628,0.14018,0.144,-39.034,0.02639,-34.651,0.0,"[0.185, 0.086, 0.129, 0.048, 0.019, 0.066, 0.037, 0.242, 0.088, 0.185, 1.0, 0.075]","[23.886, -152.384, 61.551, 9.247, 90.945, -48.957, -18.255, 8.503, -31.757, -10.879, -1.035, -2.619]"
11,1.99646,0.17451,0.673,-38.641,0.01298,-30.735,0.0,"[0.201, 0.151, 1.0, 0.114, 0.083, 0.065, 0.035, 0.04, 0.034, 0.045, 0.186, 0.034]","[25.365, -113.284, 59.676, 64.718, 87.601, -41.746, -26.046, 23.476, 14.33, 6.868, -27.855, -22.772]"
12,2.17098,0.58463,1.0,-43.51,0.0465,-24.71,0.0,"[0.171, 0.099, 0.123, 0.089, 0.094, 1.0, 0.167, 0.07, 0.047, 0.07, 0.169, 0.158]","[21.755, -64.904, 12.876, 182.258, 111.598, 48.308, -4.162, 118.825, 15.358, 16.364, -29.987, -37.574]"
13,2.7556,0.88971,1.0,-54.42,0.05648,-24.392,0.0,"[0.08, 0.07, 0.361, 0.166, 0.51, 0.05, 0.19, 0.057, 0.593, 0.074, 0.19, 1.0]","[26.158, -137.596, 17.094, 58.655, 85.226, 75.897, 1.091, 56.856, -3.283, 48.109, 13.482, -29.84]"
14,3.64531,0.51501,1.0,-40.01,0.06329,-27.072,0.0,"[0.206, 0.099, 0.842, 0.908, 0.974, 0.146, 0.12, 0.13, 0.36, 0.196, 0.144, 1.0]","[23.806, -131.296, -36.786, 106.572, 77.521, 28.347, -23.346, 98.569, -3.685, 15.734, -30.263, -12.567]"
15,4.16032,0.54694,1.0,-51.62,0.13289,-10.848,0.0,"[0.312, 0.203, 0.508, 0.299, 1.0, 0.171, 0.116, 0.35, 0.917, 0.21, 0.196, 0.704]","[35.893, -29.285, -32.914, -222.298, 70.665, 104.07, 21.697, 32.695, 31.254, 5.647, 32.612, -2.567]"
16,4.70726,0.26717,0.079,-20.583,0.07212,-17.424,0.0,"[0.132, 0.066, 0.043, 0.176, 1.0, 0.182, 0.07, 0.063, 0.236, 0.657, 0.078, 0.862]","[40.239, 3.294, 8.161, -30.933, 102.704, -32.906, -54.595, -27.949, 21.114, -1.806, -10.961, 27.498]"
17,4.97442,0.37787,0.67,-23.988,0.04412,-15.541,0.0,"[0.313, 0.11, 0.502, 0.148, 0.189, 1.0, 0.373, 0.079, 0.084, 0.439, 0.067, 0.083]","[39.092, -58.127, -32.429, 65.203, 56.774, 2.807, -19.383, -36.119, 0.295, 8.894, -35.595, -1.638]"
18,5.35229,0.16141,0.394,-35.928,0.01598,-30.236,0.0,"[0.339, 0.303, 0.076, 0.072, 0.123, 0.13, 0.023, 0.032, 0.089, 1.0, 0.116, 0.04]","[27.906, -159.973, 31.445, 10.693, 55.111, -48.483, -15.525, 23.88, 1.876, -1.407, -14.411, 2.3]"
19,5.5137,0.35093,0.851,-36.645,0.02684,-26.106,0.0,"[0.234, 0.075, 0.138, 0.057, 0.156, 1.0, 0.08, 0.022, 0.025, 0.286, 0.024, 0.045]","[28.383, -132.058, -2.818, 94.818, 46.211, -16.706, -43.221, 34.791, -12.281, 0.633, -37.456, -8.374]"
20,5.86463,0.19556,1.0,-47.355,0.04526,-32.121,0.0,"[1.0, 0.23, 0.03, 0.015, 0.025, 0.041, 0.047, 0.07, 0.026, 0.019, 0.022, 0.211]","[23.82, -156.166, -39.304, 26.616, 28.945, -18.116, -30.162, 46.316, -33.215, -2.98, -16.764, -6.885]"
21,6.06018,0.16816,0.65,-44.222,0.05195,-37.028,0.0,"[0.321, 0.166, 1.0, 0.168, 0.038, 0.024, 0.043, 0.029, 0.024, 0.091, 0.063, 0.027]","[20.057, -153.803, -14.253, 16.229, 98.721, -41.886, -4.455, 49.871, -24.517, -6.672, -22.709, -6.116]"
22,6.22834,0.34376,1.0,-47.344,0.02272,-30.16,0.0,"[0.381, 0.071, 0.064, 0.075, 0.152, 1.0, 0.167, 0.088, 0.164, 0.777, 0.112, 0.094]","[25.177, -142.271, 12.711, 67.408, 62.152, -36.763, -40.418, 32.59, -14.672, -5.797, -8.78, -8.592]"
23,6.57211,0.48884,1.0,-46.149,0.04046,-28.317,0.0,"[1.0, 0.26, 0.172, 0.125, 0.176, 0.163, 0.183, 0.134, 0.222, 0.157, 0.338, 0.335]","[22.117, -79.071, -14.69, 180.811, 73.024, -32.981, -71.605, 110.942, -3.009, -18.457, -40.387, -25.863]"
24,7.06095,0.08984,0.133,-56.445,0.04347,-54.472,0.0,"[1.0, 0.639, 0.517, 0.523, 0.404, 0.404, 0.212, 0.213, 0.212, 0.211, 0.3, 0.254]","[5.171, 70.959, -67.903, -58.918, 26.567, -51.255, 29.961, 7.709, -28.237, 4.708, -6.568, 10.093]"
25,7.15079,0.90063,1.0,-54.836,0.09374,-32.64,0.0,"[0.088, 0.812, 0.18, 1.0, 0.086, 0.053, 0.064, 0.197, 0.05, 0.041, 0.193, 0.083]","[20.769, -135.81, -37.155, 26.403, 61.868, 30.042, 2.293, 53.955, -44.63, 49.824, 30.767, -11.688]"
26,8.05143,0.42218,1.0,-44.734,0.05285,-30.962,0.0,"[1.0, 0.349, 0.815, 0.319, 0.204, 0.273, 0.366, 0.107, 0.178, 0.554, 0.14, 0.19]","[21.662, -139.635, -66.187, 99.42, 50.445, -33.479, -43.223, 109.05, -13.239, -9.243, -32.541, -11.369]"
27,8.47361,0.65624,1.0,-53.424,0.16478,-11.272,0.0,"[1.0, 0.477, 0.947, 0.513, 0.172, 0.242, 0.646, 0.638, 0.515, 0.484, 0.979, 0.439]","[23.653, 41.707, 74.4, -348.171, 55.8, 43.851, 67.331, -23.599, -16.493, 48.112, -30.014, 15.513]"
28,9.12984,0.20989,0.155,-25.92,0.0367,-21.784,0.0,"[0.781, 0.664, 1.0, 0.377, 0.057, 0.017, 0.068, 0.053, 0.01, 0.082, 0.683, 0.444]","[36.227, 32.937, -37.629, -20.961, 78.48, -43.668, -60.936, 1.157, 39.831, 35.183, -11.655, 8.37]"
29,9.33973,0.34993,0.841,-27.863,0.0751,-17.158,0.0,"[0.33, 0.261, 0.843, 0.118, 0.037, 0.379, 0.247, 1.0, 0.977, 0.38, 0.184, 0.783]","[34.678, 16.015, -74.145, 26.782, 51.334, 5.632, -35.288, 35.952, 21.946, 30.517, -68.266, 36.35]"
30,9.68966,0.7371,1.0,-42.636,0.04806,-16.771,0.0,"[0.367, 0.209, 1.0, 0.409, 0.909, 0.235, 0.139, 0.35, 0.187, 0.176, 0.131, 0.166]","[33.022, -38.663, -104.75, 78.953, 33.573, 30.057, -8.171, 87.279, 34.888, -45.625, -26.603, -10.583]"
31,10.42676,0.49878,1.0,-46.566,0.05748,-22.361,0.0,"[0.124, 0.058, 0.515, 1.0, 0.063, 0.024, 0.024, 0.013, 0.02, 0.033, 0.038, 0.024]","[26.046, -67.544, -112.07, 90.313, 77.677, 57.03, -9.86, 16.871, -5.691, 62.998, -49.31, -0.204]"
32,10.92553,0.32785,1.0,-49.171,0.12041,-25.863,0.0,"[0.27, 0.262, 1.0, 0.504, 0.064, 0.033, 0.031, 0.056, 0.025, 0.131, 0.031, 0.093]","[19.132, -77.151, -74.227, -149.258, 50.378, 44.489, 27.248, 19.177, -7.828, 31.524, -79.655, 2.594]"
33,11.25338,0.21542,0.244,-46.266,0.02849,-42.859,0.0,"[0.127, 0.497, 1.0, 0.617, 0.102, 0.017, 0.01, 0.011, 0.015, 0.034, 0.037, 0.03]","[15.578, -96.412, -99.162, -51.414, 32.248, -63.823, 42.54, 31.969, -9.577, 6.222, 5.964, 1.704]"
34,11.4688,0.53007,1.0,-44.339,0.14221,-18.532,0.0,"[0.165, 0.168, 1.0, 0.141, 0.075, 0.452, 0.185, 0.932, 0.847, 0.475, 0.094, 0.647]","[27.73, -39.172, 15.737, -219.074, 15.937, 21.195, 24.55, -10.69, -11.698, 43.539, -10.632, 16.482]"
35,11.99887,0.31383,0.067,-25.636,0.04136,-23.422,0.0,"[0.238, 0.084, 0.873, 0.079, 0.098, 0.276, 0.198, 0.685, 0.28, 0.513, 0.064, 1.0]","[34.782, -16.619, -15.886, -19.794, 15.846, -23.717, -61.592, -29.031, 20.102, 5.121, -9.695, -6.367]"
36,12.3127,0.36522,0.071,-27.925,0.02732,-26.313,0.0,"[0.176, 0.078, 0.274, 0.071, 0.083, 0.313, 0.069, 0.062, 0.069, 0.237, 0.1, 1.0]","[31.211, -46.908, -22.198, -1.469, 9.13, -35.912, -66.2, -7.533, 15.708, 0.432, -6.124, -0.948]"
